time_ps,volume_A3,temperature_K,density_g_cm3,mc_accept_pct,mc_volume_scale_A3
0.0000,1920.3259,291.11,0.99698,nan,1.000
0.0100,1920.3259,296.60,0.99698,nan,1.000
0.0200,1920.5467,295.23,0.99687,100.0,1.000
0.0300,1920.9111,294.28,0.99668,100.0,1.000
0.0400,1921.1946,301.08,0.99653,100.0,1.000
0.0500,1921.1946,286.66,0.99653,100.0,1.000
0.0600,1921.1406,285.53,0.99656,100.0,1.000
0.0700,1921.7081,325.38,0.99627,100.0,1.000
0.0800,1922.3766,293.05,0.99592,100.0,1.000
0.0900,1923.2411,300.95,0.99547,100.0,1.000
0.1000,1923.2411,293.37,0.99547,100.0,1.000
0.1100,1923.2829,278.80,0.99545,100.0,1.000
0.1200,1923.4883,287.83,0.99535,100.0,1.000
0.1300,1922.5755,292.37,0.99582,100.0,1.100
0.1400,1922.3965,276.33,0.99591,100.0,1.100
0.1500,1922.3965,267.02,0.99591,100.0,1.100
0.1600,1922.3440,280.02,0.99594,100.0,1.100
0.1700,1922.2833,307.58,0.99597,100.0,1.100
0.1800,1922.8200,332.63,0.99569,100.0,1.100
0.1900,1923.8842,300.77,0.99514,100.0,1.100
0.2000,1923.8842,313.54,0.99514,100.0,1.100
0.2100,1923.1189,304.70,0.99554,100.0,1.100
0.2200,1922.3556,308.47,0.99593,100.0,1.100
0.2300,1922.7500,295.17,0.99573,100.0,1.100
0.2400,1922.8813,277.90,0.99566,100.0,1.100
0.2500,1922.8813,314.66,0.99566,100.0,1.100
0.2600,1922.7810,330.50,0.99571,100.0,1.210
0.2700,1922.9721,317.19,0.99561,100.0,1.210
0.2800,1922.5145,303.18,0.99585,100.0,1.210
0.2900,1923.5270,309.65,0.99533,100.0,1.210
0.3000,1923.5270,295.61,0.99533,100.0,1.210
0.3100,1923.5270,312.81,0.99533,95.8,1.210
0.3200,1924.7185,325.26,0.99471,96.0,1.210
0.3300,1924.6368,312.56,0.99475,96.2,1.210
0.3400,1923.5938,309.99,0.99529,96.3,1.210
0.3500,1923.5938,315.24,0.99529,96.3,1.210
0.3600,1923.6093,323.50,0.99528,96.4,1.210
0.3700,1924.5218,307.55,0.99481,96.6,1.210
0.3800,1924.7231,330.22,0.99471,96.7,1.331
0.3900,1924.7971,301.75,0.99467,96.8,1.331
0.4000,1924.7971,312.72,0.99467,96.8,1.331
0.4100,1924.6805,313.09,0.99473,96.9,1.331
0.4200,1924.6805,315.00,0.99473,93.9,1.331
0.4300,1924.2730,325.27,0.99494,94.1,1.331
0.4400,1925.1639,303.64,0.99448,94.3,1.331
0.4500,1925.1639,295.67,0.99448,94.3,1.331
0.4600,1925.0742,338.28,0.99453,94.4,1.331
0.4700,1925.5939,327.21,0.99426,94.6,1.331
0.4800,1926.0677,306.31,0.99401,94.7,1.331
0.4900,1926.1082,295.33,0.99399,94.9,1.331
0.5000,1926.1082,315.86,0.99399,94.9,1.331
0.5100,1927.2971,300.55,0.99338,95.0,1.464
0.5200,1926.7531,304.37,0.99366,95.1,1.464
0.5300,1927.4538,304.91,0.99330,95.2,1.464
0.5400,1928.1139,297.84,0.99296,95.3,1.464
0.5500,1928.1139,314.95,0.99296,95.3,1.464
0.5600,1928.8022,285.73,0.99260,95.5,1.464
0.5700,1927.6942,286.06,0.99317,95.6,1.464
0.5800,1926.8955,280.25,0.99359,95.7,1.464
0.5900,1928.3384,293.30,0.99284,95.7,1.464
0.6000,1928.3384,270.61,0.99284,95.7,1.464
0.6100,1927.2266,314.96,0.99341,95.8,1.464
0.6200,1925.8629,312.06,0.99412,95.9,1.464
0.6300,1924.4000,293.74,0.99487,96.0,1.611
0.6400,1925.4855,300.75,0.99431,96.1,1.611
0.6500,1925.4855,298.89,0.99431,96.1,1.611
0.6600,1925.3082,295.78,0.99440,96.2,1.611
0.6700,1924.4943,298.83,0.99483,96.2,1.611
0.6800,1925.4823,301.27,0.99431,96.3,1.611
0.6900,1925.6109,300.03,0.99425,96.4,1.611
0.7000,1925.6109,284.59,0.99425,96.4,1.611
0.7100,1925.3627,274.38,0.99438,96.4,1.611
0.7200,1924.2408,272.80,0.99496,96.5,1.611
0.7300,1922.8505,277.16,0.99568,96.6,1.611
